Indicates whether WebKit will apply built-in workarounds (quirks) to improve compatibility with certain known websites. You can disable site-specific quirks to help test your website without these workarounds.|||指示 WebKit 是否应用内置变通方案（怪异模式）以提高与某些已知网站的兼容性。可关闭站点专用变通，以便在无这些变通的情况下测试网站。
Sets the path to the Application Caches files. In order for the Application Caches API to be enabled, this option must be set a path to which the application can write.|||设置 Application Cache 文件路径。要启用 Application Cache API，必须将此项设为应用可写入的路径。
Sets whether the WebView should load image resources. Note that this method controls loading of all images, including those embedded using the data URI scheme.|||设置 WebView 是否加载图片资源。注意：该方法控制所有图片的加载，包括通过 data URI 嵌入的图片。
Enables or disables content URL access within WebView. Content URL access allows WebView to load content from a content provider installed in the system.|||启用或禁用 WebView 内的 content URL 访问。content URL 访问允许 WebView 从系统已安装的内容提供程序加载内容。
Sets whether the WebView should save form data. In Android O, the platform has implemented a fully functional Autofill feature to store form data.|||设置 WebView 是否保存表单数据。在 Android O 及更高版本，平台已实现完整的自动填充功能用于存储表单数据。
Flutter Browser has verified that ${_topMainCertificate?.issuer(dn: ASN1DistinguishedNames.COMMON_NAME)} has emitted the web site certificate.|||Flutter 浏览器已验证网站证书由 ${_topMainCertificate?.issuer(dn: ASN1DistinguishedNames.COMMON_NAME)} 签发。
Enable to allow HTML5 media playback to appear inline within the screen layout, using browser-supplied controls rather than native controls.|||启用后，HTML5 媒体可在屏幕布局内联播放，并使用浏览器提供的控件而非原生控件。
Enables debugging of web contents loaded into any WebViews of this application. On iOS < 16.4, the debugging mode is always enabled.|||启用对本应用任意 WebView 中加载网页内容的调试。在 iOS < 16.4 上，调试模式始终开启。
Sets whether JavaScript running in the context of a file scheme URL should be allowed to access content from other file scheme URLs.|||设置是否允许 file 协议 URL 上下文中的 JavaScript 访问其他 file 协议 URL 的内容。
Sets the color the web view displays behind the active page, visible when the user scrolls beyond the bounds of the page.|||设置网页背后显示的颜色，当用户滚动超出页面边界时可见。
Sets whether JavaScript running in the context of a file scheme URL should be allowed to access content from any origin.|||设置是否允许 file 协议 URL 上下文中的 JavaScript 访问任意来源的内容。
Indicates whether HTTP requests to servers known to support HTTPS should be automatically upgraded to HTTPS requests.|||指示是否应将发往已知支持 HTTPS 的服务器的 HTTP 请求自动升级为 HTTPS。
A floating-point value that specifies the maximum scale factor that can be applied to the scroll view's content.|||指定可应用于滚动视图内容的最大缩放因子的浮点值。
A floating-point value that specifies the minimum scale factor that can be applied to the scroll view's content.|||指定可应用于滚动视图内容的最小缩放因子的浮点值。
Sets whether the WebView loads pages in overview mode, that is, zooms out the content to fit on screen by width.|||设置 WebView 是否以概览模式加载页面，即缩小内容以按宽度适配屏幕。
Sets whether the WebView should enable support for the "viewport" HTML meta tag or should use a wide viewport.|||设置 WebView 是否支持 HTML "viewport" meta 标签，或是否使用宽视口。
Configures the WebView's behavior when a secure origin attempts to load a resource from an insecure origin.|||配置当安全来源尝试从不安全来源加载资源时 WebView 的行为。
Enables or disables file access within WebView. Note that this enables or disables file system access only.|||启用或禁用 WebView 内的文件访问。注意：仅影响文件系统访问。
Sets if shared cookies from "HTTPCookieStorage.shared" should used for every load request in the WebView.|||设置 WebView 的每次加载请求是否应使用来自 "HTTPCookieStorage.shared" 的共享 Cookie。
Determines whether bouncing always occurs when horizontal scrolling reaches the end of the content view.|||决定水平滚动到达内容视图末端时是否始终发生回弹。
Sets whether the WebView should display on-screen zoom controls when using the built-in zoom mechanisms.|||设置使用内置缩放机制时 WebView 是否显示屏幕缩放控件。
Sets whether the WebView should always allow scaling of the webpage, regardless of the author's intent.|||设置 WebView 是否始终允许缩放网页，而不论页面作者的意图。
Sets whether the WebView should have the session cookie cache cleared before the new window is opened.|||设置是否在新窗口打开前清除会话 Cookie 缓存。
Sets the level of granularity with which the user can interactively select content in the web view.|||设置用户可在网页视图中交互选择内容的粒度级别。
Sets whether the WebView should not support zooming using its on-screen zoom controls and gestures.|||设置 WebView 是否不支持通过屏幕缩放控件和手势进行缩放。
Determines whether bouncing always occurs when vertical scrolling reaches the end of the content.|||决定垂直滚动到达内容末端时是否始终发生回弹。
Sets wheter the WebView should suppresses content rendering until it is fully loaded into memory.|||设置 WebView 是否在内容完全加载到内存前抑制渲染。（原文拼写 wheter/suppresses 保留语义）
Overrides the way the cache is used. The way the cache is used is based on the navigation type.|||覆盖缓存使用方式。缓存策略基于导航类型。
Specifying a dataDetectoryTypes value adds interactivity to web content that matches the value.|||指定 dataDetectorTypes 可为匹配该值的网页内容增加交互能力。
Enable to allow a viewport meta tag to either disable or restrict the range of user scaling.|||启用后，viewport meta 标签可禁用或限制用户缩放范围。
Sets whether the WebView should bounce when the scrolling has reached an edge of the content|||设置滚动到达内容边缘时 WebView 是否回弹。
Sets whether this WebView should raster tiles when it is offscreen but attached to a window.|||设置此 WebView 在离屏但仍附加到窗口时是否对图块进行光栅化。
Indicates if Apple Pay API should be enabled on the next page load (JavaScript won't work).|||指示是否应在下次页面加载时启用 Apple Pay API（JavaScript 将不可用）。
A Boolean value that determines whether scrolling is disabled in a particular direction.|||布尔值，决定某个方向的滚动是否被禁用。
Configures whether the scroll indicator insets are automatically adjusted by the system.|||配置滚动指示器内边距是否由系统自动调整。
Indicates whether the web view's built-in find interaction native UI is enabled or not.|||指示网页视图内置的查找交互原生界面是否启用。
Enable to allow the horizontal swipe gestures trigger back-forward list navigations.|||启用后，水平滑动手势可触发前进/后退列表导航。
Sets the underlying layout algorithm. This will cause a re-layout of the WebView.|||设置底层布局算法。这将导致 WebView 重新布局。
Sets whether the WebView ignores an accessibility request to invert its colors.|||设置 WebView 是否忽略反转颜色的无障碍请求。
